Downloaded on,9/6/2026 2:04:45 PM,Url,https://www.congress.gov/votes/house/119-1/362
Result,Passed - Yea: 215 | Nay: 201 (R 211-0 Pres=0 NV=9 D 4-201 Pres=0 NV=8 I 0-0 Pres=0 NV=0)
Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Nay
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Yea
"Aguilar, Pete [D-CA]",Democratic,California,Nay
"Alford, Mark [R-MO]",Republican,Missouri,Yea
"Allen, Rick W. [R-GA]",Republican,Georgia,Yea
"Amo, Gabe [D-RI]",Democratic,Rhode Island,Nay
"Amodei, Mark E. [R-NV]",Republican,Nevada,Yea
"Ansari, Yassamin [D-AZ]",Democratic,Arizona,Nay
"Arrington, Jodey C. [R-TX]",Republican,Texas,Yea
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Nay
"Bacon, Don [R-NE]",Republican,Nebraska,Yea
"Balint, Becca [D-VT]",Democratic,Vermont,Nay
"Barr, Andy [R-KY]",Republican,Kentucky,Not Voting
"Beatty, Joyce [D-OH]",Democratic,Ohio,Nay
"Bentz, Cliff [R-OR]",Republican,Oregon,Yea
"Bera, Ami [D-CA]",Democratic,California,Yea
"Boebert, Lauren [R-CO]",Republican,Colorado,Yea
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Nay
"Burlison, Eric [R-MO]",Republican,Missouri,Present
"Carson, Andre [D-IN]",Democratic,Indiana,Not Voting
